iter,e,e_std,e_err95,e_var,e_var_std,e_var_err95
0,1.259677989441661,0.16363658976158876,0.3207218224856697,13.873318879147703,1.6294579383995493,3.1936788735860024
1,1.114339907646468,0.17180784436936794,0.3367371872254239,14.499214065695396,1.6991218289956087,3.3302175901772175
2,1.168150058575352,0.1756373203931769,0.3442428223117491,15.088344737300265,1.6874923045493342,3.3074241411051912
3,1.134143083713957,0.18023408829709894,0.35325232184872596,14.61334218453888,1.817932967594943,3.563083142794109
4,0.9473368952017931,0.15495078957294986,0.3036979669390263,13.157119756862066,1.6125194307943866,3.160480008728026
5,0.8794214581763173,0.1521035497990762,0.29811747952688394,12.582236788744648,1.593355583860263,3.1229195589319056
6,0.8055687484480308,0.1394708727041766,0.2733578873925566,9.406373093379866,1.2880541566522308,2.5245397571754853
7,0.3486895829428247,0.1166883519103712,0.22870496715966318,6.198479267806026,0.920970208056774,1.8050684386256373
8,0.5738579898917052,0.12407636526630098,0.24318520725458642,8.338346249885129,1.1444150698469222,2.243012320264858
9,0.12644620855414135,0.08916358497854586,0.17475741529042646,4.312956163359733,0.5804878985821592,1.1377353746823715
10,-0.1753573765382454,0.07552810568050945,0.1480323669543336,2.815608495701885,0.06774928050445135,0.13278614976722627
11,-0.17151018524323933,0.08040124645495673,0.1575835473638439,3.2601106852954285,0.39906819500908963,0.7821592895932227
12,-0.32003637038000143,0.06262355555781488,0.12273991347716029,2.3375771479511336,0.07182644042437059,0.14077723636947817
13,-0.4324037916004875,0.06488041743422268,0.12716328147300107,2.0119486496525107,0.08621872189220504,0.16898558970179697
14,-0.45403161960310445,0.057842862512562494,0.1133699272873245,1.846894347072675,0.07458537458501342,0.1461846479600554
15,-0.6183750793170404,0.05504341043026458,0.10788310202957493,1.486511495806418,0.08556652050540153,0.16770729847299504
16,-0.5629649834671222,0.05431292478610027,0.10645137647578934,1.3986676569026486,0.07538356521918238,0.14774907285582373
17,-0.6167397816715364,0.04892379129673513,0.095888868928755,1.215455618459896,0.06820210854235305,0.13367367641270353
18,-0.7089747152030793,0.04292158858150522,0.08412476777899586,0.973570231193671,0.06152451613375603,0.12058583578841531
19,-0.733490024103383,0.040458640864747465,0.0792974789583455,0.8327128666468837,0.05732876786490157,0.11236232029326429
20,-0.7621017597318116,0.03554007448613379,0.0696572660006931,0.7262268095696225,0.04822371664146808,0.0945167478179423
21,-0.8142259527962773,0.032271937119648056,0.06325183446585148,0.5622225161195569,0.04463531854539673,0.08748361678745034
22,-0.8664995621452186,0.02851637650457671,0.055891070918554546,0.4224355684724837,0.03498768534775859,0.0685746031840266
23,-0.8629077133521477,0.026880835887692054,0.0526854702142082,0.3983414405288379,0.029853827867451537,0.05851242742086322
24,-0.8873999656531123,0.02594696681307088,0.05085512046167495,0.3142786831138665,0.024823382056573407,0.048652934805361696
25,-0.9091596234309693,0.02178971487897728,0.04270705639619202,0.2642221017175538,0.019044711813288925,0.0373269492499908
26,-0.8978786339242466,0.02132961709069679,0.04180528130179571,0.2551154887079313,0.017217797672420942,0.033746263331042615
27,-0.9092527727044147,0.020228722495982506,0.0396475675453809,0.20505082865202728,0.012518805523397226,0.024536407955319663
28,-0.9313161333122102,0.017846385462032665,0.03497827275980323,0.17993503365600402,0.01030425057582252,0.020195960016288254
29,-0.923925528062656,0.017497941245431456,0.03429533464464359,0.18768397703892942,0.0095605139884654,0.01873826309108357
30,-0.9236127002014187,0.017791774508476247,0.034871237257671266,0.16565754838077623,0.007935251272245416,0.01555280670187666
31,-0.9405310043086846,0.0159449514393391,0.03125153055634473,0.15913098231865008,0.008184697958808254,0.016041713223602674
32,-0.9476270708886982,0.016681525656557197,0.03269518949403299,0.1435840455492881,0.0077872333364751275,0.01526269687870093
33,-0.943722620228775,0.016750167741960798,0.032829725509247766,0.14953773415520605,0.009006078559745176,0.017651589619038906
34,-0.9579637067772058,0.016234299247506835,0.0318186418393591,0.15224413775684525,0.00813862349620511,0.01595140893629347
35,-0.9560949340608524,0.016381554069831303,0.0321072559876649,0.15403989491038206,0.008016168347521842,0.01571140125515277
36,-0.9562268738721819,0.01601883436781628,0.03139633843523235,0.15196350243338064,0.00866542692802655,0.016983924689595597
37,-0.9647021823547866,0.0174329798030639,0.034168012557219414,0.1516086024264337,0.008505117000905777,0.01666972300607464
38,-0.9710924856858019,0.01675108258674644,0.03283151857207907,0.15827649410034722,0.008286045076244386,0.016240349923714443
39,-0.9634421486262492,0.016594377761448835,0.03252438275829212,0.15867479834203302,0.008658194506016697,0.01696974940293529
40,-0.9725700326528746,0.017454190649534313,0.03420958505238303,0.16386431481687858,0.009140014604427437,0.017914099442847886
41,-0.9750129925695868,0.017246422414929227,0.03380236679542559,0.18360776948465096,0.009748044599411235,0.0191058163345362
42,-0.9691672872358761,0.01776848536079672,0.034825591366988755,0.17927274119913664,0.009696664099139931,0.019005112404496795
43,-0.9790697952547406,0.01852606162299448,0.03631041355643884,0.18708299629563124,0.009787511875574783,0.01918317077438465
44,-0.9876703058193628,0.01870016930173249,0.036651658336197206,0.1826410395491348,0.010469525998679861,0.02051989389261827
45,-0.98012210342296,0.018921730383646165,0.037085910077123745,0.18396840685770965,0.011114108322081814,0.021783252031557246
46,-0.9869160579630549,0.01755113645406404,0.03439959533771355,0.1911844956954652,0.010968492637101661,0.02149785053341202
47,-0.9797891745501124,0.01768821220261311,0.03466825886802359,0.1828728562127901,0.010602218599770457,0.020779966611770777
48,-0.9900258639031189,0.018140319366069604,0.03555437262555089,0.19578492499128736,0.011080711347818193,0.021717795164807936
49,-0.9998044728982399,0.018279615735970832,0.035827388493734465,0.19610635208468657,0.011539389742213715,0.02261678829830982
50,-1.0173164810740354,0.019047897787862887,0.037333193645411426,0.22097940262402965,0.012712023295858275,0.024915107830516373
51,-0.9949308915787412,0.020217965032885463,0.03962648330514568,0.2005133175368275,0.013143433030764533,0.025760655373512614
52,-1.0110559922305429,0.015937210386312975,0.031236358371211113,0.18534569733965306,0.011833899971770031,0.023194017741318823
53,-1.022725933551115,0.019898151841946342,0.03899966096912417,0.20972420274880496,0.01301807508230138,0.025514958309349006
54,-1.035290924744748,0.01885793440223257,0.03696087225119471,0.20492164387221468,0.012505129236681657,0.024509602925914906
55,-1.0242795312177737,0.018206043979937244,0.03568319050162926,0.19584639877301133,0.01263425154510913,0.024762678000033424
56,-1.0133228996208743,0.017673046414942103,0.03463853447039124,0.19601820475281703,0.012839574943741426,0.025165104466536088
57,-1.0204664664668235,0.018236307868192327,0.03574250663264137,0.19276391846821234,0.011630281488235859,0.022794932847005185
58,-1.0151452182607517,0.01850889520186454,0.036276767989280714,0.17965199279990074,0.01142711176117062,0.022396727499208482
59,-1.0426300027528428,0.01913208010842895,0.03749818796185591,0.1877436413781684,0.011959041889812137,0.023439291393637613
60,-1.0518456507186924,0.01864083745875847,0.03653537006083175,0.19865084153191137,0.012146244253245701,0.023806201283788176
61,-1.0304190368296595,0.01890016687957649,0.037043646385766696,0.1902519244312769,0.01195278791947319,0.023427033837012896
62,-1.0525902464292574,0.018819657796783965,0.036885851483064995,0.19179773152760726,0.01136502238771646,0.02227503456341567
63,-1.0338480542403783,0.01843181645232096,0.03612569641620191,0.18170676388989881,0.010722057345638365,0.021014846237624327
64,-1.0554033351835905,0.017739405863981164,0.03476859660054172,0.1858101871867738,0.010951710428579722,0.021464958009127975
65,-1.0642526412168305,0.018563899639305128,0.03638457470565415,0.17679661947048636,0.009948108865026246,0.019497935089735074
66,-1.059989168081404,0.017784302572265893,0.03485659253180419,0.17208427725716877,0.010072571467185123,0.019741877307388613
67,-1.0712927496752058,0.018993582342343107,0.03722673732838841,0.18408669930787164,0.010341407307606123,0.02026878587236733
68,-1.0557187676756363,0.01784417902722024,0.03497394822703665,0.17274162353993827,0.009045016533020906,0.01772790664429032
69,-1.0642438255535036,0.017460121710492847,0.03422120971825186,0.16036804081856576,0.009059622196618218,0.01775653321891136
70,-1.0800322066643882,0.017297579557623552,0.03390263295265844,0.17235163175403367,0.009609031553444345,0.018833355771059882
71,-1.082771102310004,0.01613805921781231,0.03163001484728676,0.16276161474214018,0.00865441976504172,0.016962351046573367
72,-1.0840791340068856,0.017775176830786412,0.03483870640717219,0.14799153040243335,0.008702269811275504,0.01705613541385016
73,-1.0761999497654637,0.01624442056458583,0.03183847925631003,0.15779064612148608,0.0087376777048677,0.017125533610059293
74,-1.0829108818545417,0.016921636268653256,0.03316579764604713,0.15904327059280612,0.008392913145173465,0.01644980748991278
75,-1.0885733588074262,0.017337450941310763,0.033980779428699155,0.14363530144196562,0.008439543770442723,0.016541201836017108
76,-1.083603433876882,0.01642078509146819,0.03218414737714991,0.15012631844333196,0.00787289728723653,0.015430595136966692
77,-1.1014513920769387,0.016511094871348473,0.032361151293167,0.14656077153461625,0.008031110011538634,0.01574068637849478
78,-1.1057237292756792,0.015982824990565705,0.03132576135271551,0.13149048146388076,0.0077183477174276195,0.015127683546315069
79,-1.097197570666203,0.01580137181235142,0.030970119658535186,0.13478436886825299,0.007447727502567986,0.014597277671701695
80,-1.10816599385651,0.01566091646676615,0.03069483223975193,0.13923467486234836,0.00744109447608236,0.014584277178681368
81,-1.118901499504174,0.01580950065470524,0.03098605189678467,0.14800184667783786,0.007669815054131456,0.015032561274180779
82,-1.0983657197743382,0.015652958530728896,0.03067923497172764,0.14371631673204166,0.007500762433801872,0.01470122422684267
83,-1.1087043186066188,0.014014271764683619,0.02746746792833648,0.12454181580541077,0.007518995953372972,0.014736961268513434
84,-1.09324935440002,0.01494383302952557,0.029289374528850203,0.12749745752611522,0.007179614357973497,0.014071785564514718
85,-1.1155103682161858,0.015358220595665788,0.03010155923412624,0.13085263781686288,0.007224466934559714,0.014159694999237527
86,-1.1254545284461304,0.014755345833188894,0.02891994641248339,0.12407497881289865,0.007283060679345198,0.014274536628736408
87,-1.1308985763658896,0.014447500383593482,0.02831658041847184,0.1257715742588514,0.007390261959248431,0.014484647276443342
88,-1.1309976310348187,0.01461198464491648,0.028638963646688588,0.12031609507232241,0.006622713572704958,0.012980280082426306
89,-1.158957273677758,0.01503195144371026,0.029462083447026978,0.12535955526398251,0.006638236735015669,0.013010704921481469
90,-1.1230320026607443,0.014198540725847782,0.02782862845568685,0.12237442303937825,0.007177490659005666,0.014067623191023764
91,-1.1494958606520358,0.014266658010761523,0.027962135880842436,0.1165719271360181,0.0065919034315599315,0.012919893315423458
