iter,e,e_std,e_err95,e_var,e_var_std,e_var_err95,exact
0,-237.48390629958476,0.20953784371679288,0.4106866270830965,74.71249002356764,2.680687788028491,5.254051518332186,-241.8280877708421
1,-238.31582485450355,0.13853492957469668,0.2715234725671983,37.66785547481119,1.2630271644995839,2.4754877539149307,-241.8280877708421
2,-238.39877817201432,0.08510921950247295,0.16681100497716098,16.678522633654843,0.48968379143646584,0.9597625950284964,-241.8280877708421
3,-238.7013765083679,0.05467582436126354,0.10716264657311424,9.716860738218138,0.24891254368100946,0.48785962091503154,-241.8280877708421
4,-238.89843246314427,0.03894685369710163,0.07633443055746984,5.44219254040622,0.1154638885753839,0.22630506312269824,-241.8280877708421
5,-239.06514090657294,0.03298432202539412,0.06464808322424373,3.1841674490385623,0.07455366783190563,0.14612250386589742,-241.8280877708421
6,-239.1893453506106,0.024094054339718982,0.0472234787474002,1.9144984435328805,0.04422837665112355,0.08668602533087441,-241.8280877708421
7,-239.32432262506669,0.022962342370471782,0.04500536404680278,1.2925590499115889,0.029967381772320542,0.05873498898471036,-241.8280877708421
8,-239.39665491701197,0.017860791224302973,0.035006507535022886,0.8615264677680203,0.01996651548701584,0.03913365125131227,-241.8280877708421
9,-239.5376842394847,0.015511956358402947,0.030402875792226867,0.5835355656077903,0.015275690345144019,0.029939802915468505,-241.8280877708421
10,-239.64016973174643,0.013448029870100851,0.02635765420841653,0.43123066827691214,0.010665748278066009,0.020904482493179475,-241.8280877708421
11,-239.71314501326157,0.013396953509148404,0.026257546380488366,0.322895424411176,0.008165629593873803,0.016004339915087082,-241.8280877708421
12,-239.79715538854072,0.010028886696318705,0.019656256729817547,0.26325264532171755,0.006847608329239189,0.013421065705545302,-241.8280877708421
13,-239.86909659720305,0.009492928541044391,0.018605798048259365,0.21566658978079523,0.005853744695353586,0.011473128777585419,-241.8280877708421
14,-239.94641395442233,0.008517989275906501,0.016694952201475155,0.1749091811119486,0.00400602418617448,0.007851663126098361,-241.8280877708421
15,-240.01739864814095,0.008670027422287825,0.01699294149265878,0.1475768988559064,0.003783765071441807,0.007416043265986567,-241.8280877708421
16,-240.0753108782113,0.007531962271015255,0.014762374784104413,0.13307321568793806,0.0030754576131041063,0.006027786157663568,-241.8280877708421
17,-240.1407996528128,0.007876487942761273,0.015437632692476078,0.11418147587711792,0.0028183530171556276,0.005523870409344827,-241.8280877708421
