iter,e,e_std,e_err95,e_var,e_var_std,e_var_err95,exact
0,-573.020863898184,0.43127210896805374,0.845277801114019,143.55910965323974,6.918258232146954,13.559536970755774,-576.444530245925
1,-572.4858768765843,0.34087653179507665,0.6681057254932729,94.58596733663924,4.596156339675007,9.008300893078456,-576.444530245925
2,-573.2072134211015,0.177610794916304,0.34811076130148555,35.30108764340846,1.4848933164695466,2.910337421164548,-576.444530245925
3,-573.6665613692346,0.08920700830601477,0.1748425234483544,7.588897196928183,0.3554852512542697,0.6967382894935408,-576.444530245925
4,-573.7588894096698,0.17475572666635839,0.34251493035818836,16.344458463706953,1.0048191657814909,1.969409375907304,-576.444530245925
5,-573.4732646088323,0.24805715528833425,0.4861830904725945,38.46913988446075,1.971061093089955,3.8632087537844626,-576.444530245925
6,-574.0256321274303,0.24424303191357555,0.4787075460254751,48.77044824720829,2.445819249181186,4.793717641089921,-576.444530245925
7,-573.991001619681,0.22617571425226055,0.44329625411205326,42.618556382485906,1.9480717739928572,3.818150516325052,-576.444530245925
8,-574.4262307825915,0.1800497978674574,0.3528911192439331,34.74949283629391,1.5452819057225486,3.0286968811776145,-576.444530245925
9,-574.6766175017424,0.1464122653985428,0.28696276707606383,25.986999647876242,1.1389219486841449,2.2322460006230997,-576.444530245925
10,-574.7274080811095,0.1509106467176529,0.2957794324502474,19.810420689020834,0.9462190303040398,1.854555220882332,-576.444530245925
11,-574.9722167645948,0.13420376414522353,0.263034544314346,14.35289878334876,0.8028663210379354,1.5735890736345262,-576.444530245925
12,-574.9913053951377,0.11686267399143194,0.22904663216025228,8.91602016841443,0.47249632829585825,0.9260757862872958,-576.444530245925
13,-575.1272541935108,0.08983601822193638,0.1760753602294793,6.178563541482685,0.2921661718927925,0.5726351744108119,-576.444530245925
14,-575.2599583319994,0.07958835686385156,0.15599031304187025,8.681018212613946,0.40092046327855113,0.7857896686910735,-576.444530245925
15,-575.4723394504967,0.1173210283222911,0.2299449901408942,15.068475667935513,0.7503268445329121,1.470613591918092,-576.444530245925
16,-575.7192640881228,0.16241526680844173,0.31832807348400943,21.44232650979594,1.0120352915820354,1.9835527225842815,-576.444530245925
17,-576.0053681160904,0.1573956981974892,0.30848989978861474,18.889920282295183,0.9555417180482166,1.8728273531000315,-576.444530245925
18,-576.0529519321324,0.12017954980033756,0.23554758928689945,11.968845226669362,0.6252236790338255,1.2254158931879284,-576.444530245925
