prefix,n_spins,JZ,h,meanEnergy,stdEnergy,meanEnergyVariance,stdEnergyVariance
ising,4,1,72.0,-287.99554027695,0.0002756255436840387,0.00015334874530186556,7.695216477855776e-06
ising,4,1,73.0,-291.99332969757637,0.00028572048826632976,0.0001479113268370146,7.118261061221316e-06
ising,4,1,74.0,-295.99573377640104,0.0002767769906302329,0.00015443228109727225,8.284030824413928e-06
ising,4,1,75.0,-299.9925718206345,0.00029815124557695013,0.00016880489195142731,7.993182937117346e-06
ising,4,1,76.0,-303.9915226161788,0.0003195109710836966,0.00015862824901218897,7.437248769562586e-06
ising,4,1,77.0,-307.9925814114629,0.00032001210349583413,0.00017287174017928386,7.087188087958057e-06
ising,4,1,78.0,-311.993820701942,0.00031242741743860706,0.0001600951672564293,6.465347511588719e-06
ising,4,1,79.0,-315.97930306860826,0.00036197012062509095,0.00021737306463313,1.0543374647371847e-05
ising,4,1,80.0,-319.98142528818346,0.00041972079549820144,0.00024887125810846007,1.47157682806084e-05
ising,4,1,81.0,-323.97820663179215,0.0003524599563546014,0.00022221314755164361,9.714280832558418e-06
ising,4,1,82.0,-327.9822749974795,0.00041182581644656167,0.00021777789472639453,9.535578693337706e-06
ising,4,1,83.0,-331.98905104026574,0.0003513283979245791,0.00019647660211879195,9.108751015769864e-06
ising,4,1,84.0,-335.9901578019583,0.0003623156254460748,0.0002078369343725085,9.810702611235158e-06
ising,4,1,85.0,-339.9947226905963,0.0003271662070462856,0.00018440404472266702,7.492330405612369e-06
ising,4,1,86.0,-343.99481536523876,0.0003126422960426511,0.00019330136393560957,8.86009307764661e-06
ising,4,1,87.0,-347.9867798333602,0.00035479895634920726,0.0002108998719834459,8.803379976414191e-06
ising,4,1,88.0,-351.9906292178687,0.00036138667531688406,0.00021332721401395274,1.0465309191076234e-05
ising,4,1,89.0,-355.9872175208094,0.0004298005279591157,0.00025403974104905037,1.1073796354617416e-05
ising,4,1,90.0,-359.98506524737184,0.00038130293111141863,0.00023474700080537367,8.613959182444224e-06
ising,4,1,91.0,-363.9912709713377,0.000368523406519219,0.00024004013902569733,1.2672798914465716e-05
ising,4,1,92.0,-367.97611834791945,0.0004383150672010757,0.0002632319061347498,1.1501932662885987e-05
ising,4,1,93.0,-371.9860993539867,0.0004482836180432768,0.00026243998597116815,1.4029304850710506e-05
ising,4,1,94.0,-375.9898190004463,0.00036321617786538076,0.00022019795525805304,9.6073515590666e-06
ising,4,1,95.0,-379.9947630235222,0.00030891353784908305,0.00018132824971329157,7.809802273322993e-06
ising,4,1,96.0,-383.9913017054381,0.0004165185443627064,0.0002560381806283562,1.3242717282496846e-05
ising,4,1,97.0,-387.99008102990274,0.0004045924743206459,0.0002363437153620481,9.570373152057144e-06
ising,4,1,98.0,-391.98742657658806,0.0003989384958404796,0.00023626591359677884,8.570449399492394e-06
ising,4,1,99.0,-395.9922747189826,0.00036746717777223466,0.0002175450736925021,9.821033178064172e-06
ising,4,1,0.001,-0.0019855040611889783,4.54327115613452e-05,1.0291368899792045e-06,7.02143609562207e-08
ising,4,1,0.011193877551020408,-0.021118587809618637,0.0004542801765231521,0.00012852766556428112,8.646517837382898e-06
ising,4,1,0.021387755102040815,-0.04015233708596851,0.0010270820328466472,0.0005640220113132407,3.350960574125907e-05
ising,4,1,0.03158163265306123,-0.05500342359897908,0.0013652599032314364,0.0011152738276279984,6.766429753279226e-05
ising,4,1,0.041775510204081635,-0.07395519473978501,0.001815556664076479,0.0019496996617277525,0.00011510959310316523
ising,4,1,0.051969387755102035,-0.1029792952458044,0.002306036163539014,0.0029282976392290857,0.00018536446648262072
ising,4,1,0.06216326530612245,-0.13314299470724442,0.0029051939266183653,0.004403524424265052,0.000268632423394544
ising,4,1,0.07235714285714286,-0.15782494420923515,0.0033871003728506133,0.006149344846489659,0.00038627770760805394
ising,4,1,0.08255102040816327,-0.1810309689664735,0.0038317156578379584,0.007998617851698628,0.00046073577811007533
ising,4,1,0.09274489795918367,-0.1889045619860607,0.003962561185885169,0.00820121682255654,0.0005424273912681799
ising,4,1,0.10293877551020407,-0.24322891457726387,0.0045473601050344285,0.011315051950195273,0.0006826795092265657
ising,4,1,0.1131326530612245,-0.2532081153260322,0.0040611873219854695,0.010203437467998792,0.0007033101561533214
ising,4,1,0.12332653061224493,-0.286230973402728,0.005169641392248552,0.014468396136215313,0.0008783552301743911
ising,4,1,0.13352040816326533,-0.34171378421086884,0.004977101787529162,0.018282262293567716,0.0010548277510002131
ising,4,1,0.1437142857142857,-0.33931316165405967,0.004811427510273964,0.01390652269696569,0.0010386806902551676
ising,4,1,0.15390816326530612,-0.41799531184419314,0.005001209498886797,0.016832422584040253,0.0011611851117818853
ising,4,1,0.16410204081632654,-0.4024645499806395,0.005624391119977122,0.018370046693758052,0.001315288655168193
ising,4,1,0.17429591836734695,-0.49174992315093236,0.005615930235906369,0.021521233593876577,0.001349030227458106
ising,4,1,0.18448979591836734,-0.525027399716202,0.004975786085758659,0.01614978492395085,0.0011451811903232573
ising,4,1,0.19468367346938772,-0.5553227406269219,0.006472972808368916,0.025462086031093643,0.0014669469445490312
ising,4,1,0.20487755102040814,-0.611492540469307,0.007044221439797308,0.0264771782423981,0.0016598211777845838
ising,4,1,0.21507142857142855,-0.6274911613809319,0.0054604307737197225,0.01962195067944768,0.0014990991215362382
ising,4,1,0.22526530612244897,-0.7341962131395232,0.005287902458109878,0.020428904882000408,0.0011919575096163673
ising,4,1,0.2354591836734694,-0.7161306601688558,0.0052847443768624346,0.017222340482077728,0.001326342007632068
ising,4,1,0.24565306122448985,-0.80669776307005,0.00634984693815587,0.02108567763633342,0.0013643808703652919
ising,4,1,0.25584693877551024,-0.818420054184316,0.0056337210934699995,0.02087888826994953,0.0014664113996681093
ising,4,1,0.26604081632653065,-0.8566095656063852,0.005415712346644844,0.017384172449217528,0.0013819796065742795
ising,4,1,0.276234693877551,-0.9531370244053154,0.005375301003599618,0.01676109291039246,0.0011250851876040283
ising,4,1,0.2864285714285714,-0.9950304966204717,0.005796101846806688,0.016350533503221097,0.0011282851965299316
ising,4,1,0.29662244897959184,-0.9951734496807,0.0044620141156797785,0.012329025834931786,0.0010716138165693305
ising,4,1,0.30681632653061225,-1.0705396860426735,0.004600979714005354,0.01272449456972439,0.0009438171488349925
ising,4,1,0.31701020408163266,-1.0946600957181625,0.004764681928157951,0.012335584254972583,0.0010688808392415765
ising,4,1,0.3272040816326531,-1.1376726619657795,0.004834277292093231,0.011907188977756632,0.0010829408137455333
ising,4,1,0.3373979591836735,-1.2179404985459057,0.004081842958347887,0.009492659169783308,0.0007491922535627722
ising,4,1,0.3475918367346939,-1.2748818839645208,0.0034865384097695165,0.008100018019911791,0.0005869803690883407
ising,4,1,0.3577857142857143,-1.3059536782007868,0.004143249803607244,0.009494267240230041,0.0007639637126816134
ising,4,1,0.3679795918367347,-1.3723447233593886,0.003423104186968372,0.0070389754362954905,0.000530885759980068
ising,4,1,0.3781734693877552,-1.412490357282244,0.0029994370589675073,0.005625317029800604,0.0004289092538528334
ising,4,1,0.3883673469387755,-1.4601607369068157,0.0032722770952474524,0.0062213945529206085,0.0005146605037573998
ising,4,1,0.3985612244897959,-1.4893879017627318,0.002647511290923265,0.003957531124735632,0.00037153712885690216
ising,4,1,0.4087551020408163,-1.5643054454349428,0.002825186169092732,0.004528116616903324,0.0003522690495356209
ising,4,1,0.4189489795918368,-1.5867761116152084,0.0023000296034945875,0.0031185315523617686,0.00028698574104095686
ising,4,1,0.4291428571428572,-1.644740607205856,0.002019978328155813,0.002523745851950329,0.00021844282546905222
ising,4,1,0.4393367346938776,-1.685593434474487,0.002177877452492639,0.003023023428022821,0.00023467222141047316
ising,4,1,0.44953061224489793,-1.7243711982756218,0.0017234042410588265,0.0022725278245736328,0.00019330656045196112
ising,4,1,0.4597244897959184,-1.7925884772273273,0.0017515180890913659,0.001774979475409729,0.00013110665908759058
ising,4,1,0.4699183673469388,-1.8119973070582664,0.0017171207206922473,0.001784124281022916,0.00016203007652352798
ising,4,1,0.4801122448979592,-1.8698847441488753,0.001640742601209771,0.0014586384251172842,0.00011065660690788913
ising,4,1,0.4903061224489797,-1.9099730170981937,0.0013966338258887961,0.00114627962424307,0.00010845536929554705
ising,4,1,0.5005,-1.9609795043140483,0.0013022376916449582,0.0009223178279570033,8.023505988759673e-05
ising,4,1,0.5106938775510205,-2.004927658656591,0.001130919371151546,0.0008023261730018061,6.873896772277578e-05
ising,4,1,0.5208877551020409,-2.0427912155128682,0.0012589996014563938,0.0008139073963712219,7.067776909421141e-05
ising,4,1,0.5310816326530613,-2.093033433964182,0.00108064630584857,0.000660410007542959,5.142658237743597e-05
ising,4,1,0.5412755102040817,-2.1314977533010993,0.000965248275226243,0.0005702259677841803,4.864474724084847e-05
ising,4,1,0.551469387755102,-2.181329199727226,0.0008111837909316069,0.0003899575938707678,2.6896282020099214e-05
ising,4,1,0.5616632653061224,-2.223979933060099,0.0007810666631605578,0.00035665861401709085,2.8427294518388346e-05
ising,4,1,0.5718571428571428,-2.2606242365031086,0.0008391659829459855,0.0004341613304665851,3.7257494838480466e-05
ising,4,1,0.5820510204081633,-2.308801800544276,0.0006382803516760796,0.00022353477485181222,1.725976979958926e-05
ising,4,1,0.5922448979591837,-2.3475652494651285,0.0006004630598386373,0.0002326002685310015,2.0041937139602014e-05
ising,4,1,0.6024387755102041,-2.393178734393679,0.0005556166987395899,0.00017816082182573525,1.3924534550861053e-05
ising,4,1,0.6126326530612245,-2.4337486853997827,0.0005416014897926788,0.00018781385044051735,1.3168557767075272e-05
ising,4,1,0.6228265306122449,-2.4748985690824155,0.0004872334526399474,0.00014423240240612226,1.1712178638697333e-05
ising,4,1,0.6330204081632653,-2.519086928119936,0.0004880365706714939,0.00013247511337357933,9.445026837964812e-06
ising,4,1,0.6432142857142857,-2.5605716306477513,0.00040657587660560446,0.00010051102375778726,7.74268081063414e-06
ising,4,1,0.6534081632653062,-2.604542290409201,0.0003439165358476517,7.636801090414758e-05,5.6296529314898155e-06
ising,4,1,0.6636020408163266,-2.6435880160861345,0.00035072971248454254,7.185426417005892e-05,5.396217704601411e-06
ising,4,1,0.673795918367347,-2.683391253720768,0.00029226704921593664,6.04551193253613e-05,4.468585301362232e-06
ising,4,1,0.6839897959183674,-2.7272627712651394,0.0002811641858011469,4.769401397607177e-05,3.853048703815195e-06
ising,4,1,0.6941836734693878,-2.7692844641205894,0.00027430408982306403,4.340145712958859e-05,3.0970669720895915e-06
ising,4,1,0.7043775510204082,-2.8111454407990495,0.00016264368519776902,1.8804360047318103e-05,1.6238009106068073e-06
ising,4,1,0.7145714285714286,-2.8509071430089743,0.00025210841574120515,4.064427575932382e-05,2.4961093950770597e-06
ising,4,1,0.724765306122449,-2.89265031587872,0.00018837972999737266,2.8980703359527993e-05,1.8200836620971297e-06
ising,4,1,0.7349591836734695,-2.933498605070242,0.00015962842544838053,2.0444518054620574e-05,1.7424402361689607e-06
ising,4,1,0.7451530612244899,-2.975363008965826,0.00017955562314637082,2.0295466833363546e-05,1.633482402211239e-06
ising,4,1,0.7553469387755103,-3.01765637811886,0.00015821272327278102,1.8083026166477374e-05,1.1509689009475617e-06
ising,4,1,0.7655408163265306,-3.0625520679610645,0.00019899357272062923,7.061253511943525e-05,1.422749058722627e-05
ising,4,1,0.775734693877551,-3.100158661975842,0.0001215829110337553,1.9651115998068615e-05,1.0994816467332433e-05
ising,4,1,0.7859285714285714,-3.1399782770609352,0.00016323153835468495,1.7608717654592997e-05,6.998361837906299e-06
ising,4,1,0.7961224489795918,-3.1812271151270544,0.00011697224197181023,1.1088957540958152e-05,7.159031796895393e-07
ising,4,1,0.8063163265306122,-3.223590681833489,0.00010530345677229182,6.895267187387543e-06,5.278713242139304e-07
ising,4,1,0.8165102040816327,-3.270286856304221,0.006792428527640969,0.022749170962285875,0.020386879027833794
ising,4,1,0.8267040816326531,-3.3052216121031885,0.0003692121802379317,6.629319726418186e-05,5.995350896486146e-05
ising,4,1,0.8368979591836735,-3.346750769507933,9.033038677834878e-05,7.519478620270782e-06,4.957106315658864e-07
ising,4,1,0.8470918367346939,-3.3869955325272594,0.00031795872993855043,5.7952171087155284e-05,5.520286572437044e-05
ising,4,1,0.8572857142857143,-3.429142080519398,0.00018716099927109178,3.180439227208298e-05,2.5711254487066438e-05
ising,4,1,0.8674795918367347,-3.4693437816288504,0.00010815568613610937,9.263323941703488e-06,7.072546261270067e-07
ising,4,1,0.8776734693877551,-3.5097271896277227,4.868510879677566e-05,2.8085529129635783e-06,1.6067379830964195e-07
ising,4,1,0.8878673469387756,-3.5500166966674,0.00028548870267716697,4.4891568164848707e-05,2.8855859416560216e-05
ising,4,1,0.8980612244897959,-3.591314349762243,6.476354119543867e-05,3.557651851548552e-06,2.391624856896281e-07
ising,4,1,0.9082551020408164,-3.6318250129623824,7.899927564895549e-05,6.297254907093046e-06,4.26799726486093e-07
ising,4,1,0.9184489795918368,-3.7101636034536396,0.025675981989177234,0.3248467534277089,0.3234104057518456
ising,4,1,0.9286428571428572,-3.7138131883518968,8.980870689100568e-05,6.233616324337708e-06,1.9975784500926054e-06
ising,4,1,0.9388367346938776,-3.7550104735153917,7.083110819302801e-05,3.606049356007007e-06,2.5071761873569094e-07
ising,4,1,0.9490306122448979,-3.7956513273537036,4.7811096416932096e-05,1.8438397710829097e-06,1.333517915172617e-07
ising,4,1,0.9592244897959183,-3.83652734973871,3.443053761485126e-05,7.980822034207235e-07,3.975305247800278e-08
ising,4,1,0.9694183673469388,-3.8775966519736915,0.00011717511438654923,1.980474389693635e-05,1.7021096246103577e-05
ising,4,1,0.9796122448979592,-3.9180111766970365,4.070205270752042e-05,1.7025308442624306e-06,8.329789234255004e-08
ising,4,1,0.9898061224489796,-3.9591401290364336,6.11283284901705e-05,2.820378701734219e-06,1.8203787173971783e-07
ising,4,1,1.0,-3.9996604274976804,4.9576715760120154e-05,2.2372197556508874e-06,1.6198631484503568e-07
ising,6,1,2.0,-12.017450585144736,0.005467361706973662,0.01733403651496905,0.007440146395853331
ising,6,1,3.0,-17.983020233853885,0.00400210225964013,0.012486421050839967,0.007514669259776764
ising,6,1,4.0,-24.102975752078205,0.002671193839567665,0.004804588785456399,0.0010446701154328782
ising,6,1,5.0,-30.01536905000686,0.004467276308088624,0.012049615300007052,0.0009652798994404232
ising,6,1,6.0,-35.87747087384442,0.00354534659468013,0.00802719263607711,0.0005479979241053051
ising,6,1,7.0,-41.83453691238278,0.004382096094087129,0.01141786962826266,0.0007992575632435827
ising,6,1,8.0,-47.91382657035159,0.0029710806166300912,0.00728132598785858,0.00035365078077882804
ising,6,1,9.0,-53.9101479801319,0.003030516681438768,0.008697805118742869,0.00040926576019438863
ising,6,1,10.0,-59.84326630776141,0.004214294539485695,0.012459155344864036,0.0006053836781200108
ising,6,1,11.0,-65.64406338699001,0.004593078558687467,0.013526597284724436,0.0007901868256245164
ising,6,1,12.0,-71.63708760252658,0.00541865408180419,0.016756986195369826,0.0010800781466923277
ising,6,1,13.0,-77.62281660169526,0.005407602553549275,0.015558724671729047,0.0010489896214625337
ising,6,1,14.0,-83.57901317502366,0.004995526654377656,0.014222191114716396,0.001030694613277466
ising,6,1,15.0,-89.72969377751463,0.004666050217363814,0.01498958184201971,0.0009807513034356345
ising,6,1,16.0,-95.74179320137915,0.005079881026005354,0.015744436870245092,0.0012325465076812783
ising,6,1,17.0,-101.73190078643127,0.00516184138408057,0.016060971640003766,0.001139986232879378
ising,6,1,18.0,-107.72834785108779,0.004784383572313388,0.013480556883853034,0.0012724025170900708
ising,6,1,19.0,-113.75674675168602,0.004681277088845776,0.013687932143087805,0.001004459358567607
ising,6,1,20.0,-119.82094255918923,0.004509829448276077,0.012910534447127317,0.0009220264682749893
ising,6,1,21.0,-125.70456472719748,0.004534638250700168,0.011613253259798227,0.0007957369354872264
ising,6,1,22.0,-131.71681827883188,0.004395940189136764,0.011487746533831273,0.000743264449232024
ising,6,1,23.0,-137.7877399497443,0.005006870528381319,0.012765403351086457,0.0008336938128490635
ising,6,1,24.0,-143.8049326742991,0.004439309090875939,0.011379396160910117,0.0007053747673099613
ising,6,1,25.0,-149.78448926110576,0.004557446258314282,0.011635205579247807,0.0007957376966830865
ising,6,1,26.0,-155.8620232451212,0.00428036211641024,0.010423713422342766,0.000679848990388212
ising,6,1,27.0,-161.80794290314083,0.003994482956785155,0.0096153185245299,0.0006738892170799209
ising,6,1,28.0,-167.7861754432962,0.004356176628289412,0.010152353072370689,0.0006742403127216393
ising,6,1,29.0,-173.84869232569926,0.004577993406003046,0.011959393847529334,0.0006708528697183393
ising,6,1,30.0,-179.79187866757474,0.004338603966895115,0.01104252703908323,0.0006998567166404466
ising,6,1,31.0,-185.81471162168347,0.003963997773621398,0.009327654028816076,0.0006141274396481423
ising,6,1,32.0,-191.84314963887985,0.003866588261335985,0.009649582322340422,0.0006323149551682115
ising,6,1,33.0,-197.83915049761794,0.0038312979857497995,0.008709389271295907,0.0005730819665268241
ising,6,1,34.0,-203.86197678180727,0.003784098380705106,0.009076666999920005,0.0005783087859414995
ising,6,1,35.0,-209.8489863571438,0.0041020149371060475,0.009341794176893759,0.0006073112505522056
ising,6,1,36.0,-215.84553153411912,0.003559673755704889,0.007622574555003318,0.0005172471795887863
ising,6,1,37.0,-221.85494473669735,0.0037605154694682267,0.008306373641626964,0.0005610849338980008
ising,6,1,38.0,-227.85752669480212,0.0038982030393692065,0.008714769067560022,0.0005287751232210285
ising,6,1,39.0,-233.84397241755778,0.004168432535326577,0.009073426480180394,0.0005521151465447848
ising,6,1,40.0,-239.83346163279356,0.0036345325893259953,0.006999437696501956,0.0005350236274917844
ising,6,1,41.0,-245.8622471319913,0.0037164636257783204,0.007761659437460628,0.00047830311643819656
ising,6,1,42.0,-251.87801810430864,0.0034733077171079205,0.007917144652236374,0.000616847205429416
ising,6,1,43.0,-257.8534691562531,0.0033950348447855548,0.007921867892453307,0.0004489512150186545
ising,6,1,44.0,-263.86504395412453,0.003000811493250677,0.005703903758270156,0.000397367634955169
ising,6,1,45.0,-269.8834850027586,0.003463148493772855,0.007452076127283151,0.0004692079090173381
ising,6,1,46.0,-275.8534612286214,0.003719845362666357,0.007785355982035565,0.0004984006604505522
ising,6,1,47.0,-281.84910215815785,0.0032188863073380233,0.00605599694326081,0.00040944948075064187
ising,6,1,48.0,-287.88016013597246,0.003163968742397267,0.006000842826449632,0.0003743322566427156
ising,6,1,49.0,-293.8999921595521,0.003404146688929721,0.007115093336662241,0.0004045902773615108
ising,6,1,50.0,-299.86099396414534,0.003223324149072423,0.006824272576331579,0.00040207876786288525
ising,6,1,51.0,-305.8728938357156,0.003190853652089936,0.006503889678223903,0.000405494549195036
ising,6,1,52.0,-311.9164212027956,0.0034118457691056083,0.006605399749009606,0.0003967847310344737
ising,6,1,53.0,-317.8829747505416,0.0030681867742150554,0.005905806212416146,0.0003874540633151173
ising,6,1,54.0,-323.9129542841368,0.003281491424648553,0.005960523010319118,0.0003770224302272005
ising,6,1,55.0,-329.88486336923944,0.003412501120867215,0.006427242930132351,0.00037317949945077535
ising,6,1,56.0,-335.8949940387255,0.003284971381539968,0.006141109973552897,0.0003973586249729173
ising,6,1,57.0,-341.9022437144181,0.002932503320385316,0.00547491788064618,0.0003571862093149719
ising,6,1,58.0,-347.9031336758536,0.002752436451180621,0.004858963606392849,0.0003384542189613875
ising,6,1,59.0,-353.8983787408621,0.0030842467798011123,0.005305503375321211,0.00036611900866595053
ising,6,1,60.0,-359.8899028746008,0.002919307270430826,0.005165393734010942,0.00034944396874388785
ising,6,1,61.0,-365.8862867724803,0.002967211123810479,0.005566754395866404,0.00036792014416164404
ising,6,1,62.0,-371.9209526519068,0.002868297503380344,0.004872835714267525,0.00031894978916323965
ising,6,1,63.0,-377.8904516638603,0.0033663760209348133,0.006089502123472609,0.00037035539347617547
ising,6,1,64.0,-383.90644311128034,0.003017178332760447,0.005228873444632302,0.0003577909328442483
ising,6,1,65.0,-389.8853786061152,0.0031143053954391293,0.005970594178445072,0.0003694539750663423
ising,6,1,66.0,-395.9014777175733,0.0028052919255843575,0.0044091210472491016,0.0003341805192410571
